Namn,Org NR
Carla AB,559277-3492
Utopia R&D Tech AB,556639-4010
Xbp Europe AB,556455-0373
Norstedts Juridik AB,556226-6097
Crayon AB,556635-9799
Informationsteknik Scandinavia Aktiebolag,556365-7039
It-Total Sweden AB,556840-2480
Amazon Corporate Services Sweden AB,559254-4232
Eficode AB,556686-2032
Meltwater Sweden AB,556637-9821
K.G.M. Datadistribution Aktiebolag,556217-2444
Nordcloud Hosting Sweden AB,556931-5863
Tech Mahindra Sweden AB,559063-4043
It-Huset i Norden AB,556545-5069
Multisoft AB,556596-4011
Formpipe Software AB,556668-6605
Signup Software AB,556570-9721
Tiktok Sweden AB,559270-8423
Sas Institute Aktiebolag,556274-7211
Webstep AB,556728-4848
Amazon Data Services Sweden AB,556833-3503
Betsson Technologies AB,556651-8261
Sinch Operator Software AB,556353-1333
Bragee Medect AB,556582-4322
Avoki Services AB,559058-8181
Detectify AB,556985-9084
Digpro Solutions AB,556510-8593
Nasdaq Exchange & Clearing Services AB,556788-5123
Conscia Sverige AB,556378-9568
Arrowhead Game Studios AB,556779-6544
Bouvet AB,556472-9282
Sentor Managed Security Services AB,556593-0269
Hyper Core AB,556951-0414
Oracle Global Services Sweden AB,559201-5795
Pearl Sverige AB,556858-0111
Accedo Broadband AB,556654-7864
Destiny For Service Providers AB,556890-1747
Broadridge Trading And Connectivity Solutions AB,556313-4583
Cleeven Sc AB,559134-5029
Thunderkick AB,556882-3842
Pinnacle Sweden AB,556839-6591
B3 Business Transformation AB,556638-7063
Knowit Insight Accelerate AB,559274-3487
Worldfavor AB,556754-8689
Aaro Systems Aktiebolag,556376-6798
Sana Labs AB,559060-6579
The North Alliance Connect AB,559126-1283
Verifone Sweden AB,556351-4347
Airmiz AB,559030-8663
Decerno Aktiebolag,556498-5025
Iron Mountain Sweden AB,556508-7946
GS1 Sweden AB,556667-6770
Innofactor AB,556676-3040
Konica Minolta Business Solutions Sweden AB,556435-4479
Asurgent AB,559062-5538
Daresay AB,556770-3573
Flower Infrastructure Technologies AB,559257-5558
Seenthis AB,556920-5452
Infosys Technologies (Sweden) AB,556779-1040
Retriever Sverige AB,556586-1571
Visionite Stockholm AB,559214-3068
Vizrt Sweden AB,556607-4760
Qestit Stockholm AB,556762-4605
Splunk Services Sweden AB,556941-7701
Readly AB,556921-1120
Vmware Sweden AB,556712-2188
Bits Data i SÃ¶dertÃ¤lje Aktiebolag,556121-2613
Softronic Aktiebolag,556249-0192
Dek Technologies Sweden AB,556712-3269
Kavalleriet AB,559315-3454
Volumental AB,556912-4141
Hive Streaming AB,556648-5396
Redpill Linpro Stockholm AB,559135-7008
Vermiculus Financial Technology AB,559214-2557
Bonnier Business Media Sweden AB,556468-8892
Hsb AffÃ¤rsstÃ¶d AB,556973-5870
Nordlo Evolve AB,556347-0540
Check Point Software Technologies ( Sweden ) AB,556575-7415
Mpya Digital AB,559118-6126
Nikib AB,556670-2873
Tavana It AB,556924-2976
Unicus Sverige AB,559072-9124
Compricer AB,556655-5727
It-Bemanning Sverige AB,556840-6028
Lemontree Enterprise Solutions AB,556641-0337
One Agency Sweden AB,556772-9545
Pdsvision AB,556552-4021
Sitoo AB,556629-6322
Grafana Labs AB,559011-5654
Liquid Swords AB,559275-6240
Pleo Technologies AB,559211-3244
Stryda AB,556734-5433
Arkivit AB,556854-0883
Gordon Services AB,559016-9750
Silverrail Technologies AB,556577-2984
Alster Digital AB,556611-0382
Cag DatastÃ¶d AB,556486-8023
Cegal Sverige AB,556692-4865
Magello Group Ab (Publ),556531-7129
Netgain AB,556652-9557
Picsmart AB,559057-7655
Atos It Solutions And Services AB,556803-2246
B3 Skilled AB,556864-0360
Bolt Services AB,559191-6993
Cparta Cyber Defense AB,559216-9311
ID North AB,556906-2903
Deloitte Mcs AB,559196-6105
Stravito AB,559114-6047
Upsales Nordic AB,556641-2507
B2B It-Partner AB,556593-0996
Retune AB,556834-7552
Softronic Premium Konsult AB,556612-1165
Videnca AB,556539-6081
Logitech Nordic AB,556598-6170
Skysparc AB,556617-8926
Xlent Business Integration AB,556543-9949
Exobe AB,556769-5605
Its Nordic AB,556584-7448
Noaignite AB,556725-5889
Primekey Solutions AB,556628-3064
Trapets AB,556586-4773
Climber AB,556721-1890
Iptor Sweden AB,556284-3812
Kiona Sweden AB,556734-6738
Stamford AB,556325-7913
Vaimo Sweden AB,556889-6830
Cint AB,556559-8769
Hailey Hr Group AB,559240-0682
Invise Agency AB,556814-7747
Naturalcycles Nordic AB,556952-7657
Pointsharp AB,556691-0633
Digital Interpretations Scandinavia AB,559032-5394
Human It-Support AB,556803-2287
LD No i AB,559215-7423
Nextory AB,556708-4149
Nixu AB,556608-8810
Open Text AB,556563-3111
Scila AB,556763-4695
Avaus Marketing Innovations AB,556581-8910
Contextvision AB,556377-8900
Dnv Sweden AB,556450-3836
Knowit Test Solutions AB,556779-8193
Solidify AB,556914-3380
Leadstar Media AB,556913-7622
Lifesum AB,556729-2841
Snfl Technologies AB,559240-1193
Swg Nordic Housing AB,556516-5247
Tendium AB,559169-6843
Avega Senso AB,556661-2213
Chief Rebel AB,559178-0068
Epm Data Aktiebolag,556486-1689
Joyweek Staffing AB,556989-5393
Nordicstation Aktiebolag,556583-0964
Savr AB,559084-1093
Warner Music Sweden Aktiebolag,556055-2605
Devcore AB,556583-1640
Jnpr Networks Sweden AB,556591-1418
Knowit Group Functions AB,559320-9272
Modul-System Sweden Aktiebolag,556374-5578
Booli Search Technologies AB,556733-0567
Cag Novus Consulting AB,556520-7676
Lnw Sweden AB,556539-2882
Puzzel AB,556579-4384
Zelly AB,556820-4605
Allevi Systems AB,556780-4157
Certezza AB,556536-1150
Diebold Nixdorf AB,556567-7787
Doctrin AB,559060-1877
Input Consulting Stockholm AB,556341-8671
Knowit Digital Management AB,559006-4571
Mestro AB,556679-4649
Omniarch AB,559168-0326
Shopify Sweden AB,556838-0082
The Mathworks AB,556655-3086
Agiremus AB,559015-9413
Antrop AB,556614-0975
Applicon AB,556511-4377
Biolit AB,556752-3518
Bizware AB,556755-6484
Cag Arete AB,556287-6770
Ecrucial Stockholm AB,559387-8969
Grade AB,556521-3120
Infometric Aktiebolag,556509-4660
Kase Technologies AB,556309-9984
Offerta Group AB,556743-5887
Podme AB,559113-6121
Axenon AB,556890-7157
Bombayworks AB,556720-9357
Datscha AB,556578-7503
Leica Geosystems Technology AB,556623-1295
Mod:G Service AB,556988-1781
Netapp Sweden AB,556610-3619
Quartr AB,559289-8125
Releye Aktiebolag,556592-9808
Xlent Norr AB,556904-9843
Active Solution Sverige AB,556557-3895
B3 Commit AB,556847-3283
Braathens Support AB,559153-9357
Business Vision Consulting Svenska Aktiebolag,556569-1002
Chas Consulting AB,559368-2577
Digitalist Open Tech AB,556654-0422
Formulate AB,556939-6129
Infosolutions Sverige AB,556747-5883
Nrg Nordic Retail Group AB,556608-5642
Qestit GÃ¶teborg AB,556981-5706
Schoolsoft AB,556587-6066
Xlent It Consulting AB,556878-2378
Yellow Elk AB,559136-4418
Akamai Technologies AB,556754-5214
All Ears AB,559075-2100
Aqilea AB,556907-8347
Elektrotrade Installation i Solna AB,556634-0005
Ocado Sweden AB,559194-8921
Random Forest AB,556880-2697
Real Time Services Technology Platforms AB,559359-4111
Skry AB,556843-0184
Westpay AB,556321-8105
Zacco Digital Trust Sweden AB,559070-2196
B3 Digital Worklife AB,559119-4153
Cag Contactor AB,556260-8819
Dreams Sustainable AB,559347-5535
Equinix (Sweden) AB,556572-6816
Learnifier AB,556701-2322
Sft Bredbandsgruppen AB,556715-3696
